apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
prediohq.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,15,0.2.0-draft,2026-08-04
predixsport.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,28,0.2.0-draft,2026-08-04
predmcp.com,1,80,Connectable,,pass,fail,fail,pass,pass,fail,skip,pass,fail,mcp-json,modern,16,0.2.0-draft,2026-08-04
predme.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,14,0.2.0-draft,2026-08-04
preflyte.xyz,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,6,0.2.0-draft,2026-08-04
prelim.chat,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,30,0.2.0-draft,2026-08-04
prelude.co.nz,1,45,Discoverable,,fail,pass,fail,fail,skip,skip,skip,pass,fail,,,14,0.2.0-draft,2026-08-04
prereason.com,1,85,Connectable,,pass,fail,pass,fail,pass,fail,skip,pass,pass,mcp-server-card-json,legacy,34,0.2.0-draft,2026-08-04
presentations.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,24,0.2.0-draft,2026-08-04
presenterprep.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,16,0.2.0-draft,2026-08-04
presio.xyz,1,85,Connectable,,pass,fail,pass,fail,pass,fail,skip,pass,pass,mcp-json,legacy,22,0.2.0-draft,2026-08-04
pressbooks.ch,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,24,0.2.0-draft,2026-08-04
presso.now,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,16,0.2.0-draft,2026-08-04
preuve.ai,1,85,Connectable,,fail,fail,pass,pass,pass,fail,skip,pass,pass,,modern,20,0.2.0-draft,2026-08-04
pricefeed.online,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,14,0.2.0-draft,2026-08-04
priceparse.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,16,0.2.0-draft,2026-08-04
pricepilot-mcp.onrender.com,1,35,Discoverable,,pass,fail,fail,fail,skip,skip,skip,fail,fail,mcp-server-card-json,,27,0.2.0-draft,2026-08-04
pricetik.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,38,0.2.0-draft,2026-08-04
pricewatcha.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,15,0.2.0-draft,2026-08-04
primateintelligence.ai,1,85,Connectable,,fail,fail,pass,pass,pass,fail,skip,pass,pass,,modern,20,0.2.0-draft,2026-08-04
primerfp.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,12,0.2.0-draft,2026-08-04
primeta.ai,1,45,Discoverable,,pass,fail,fail,pass,skip,skip,skip,pass,fail,mcp-json,,13,0.2.0-draft,2026-08-04
primitive.dev,1,50,Discoverable,,pass,fail,fail,pass,fail,skip,skip,pass,pass,ai-catalog|mcp-json|mcp-bare|mcp-server-card-json,,23,0.2.0-draft,2026-08-04
prince.cloud,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,fail,mcp-json,,14,0.2.0-draft,2026-08-04
print.one,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,19,0.2.0-draft,2026-08-04
printinglabs.com,1,85,Connectable,,fail,fail,pass,fail,pass,fail,skip,pass,pass,,legacy,19,0.2.0-draft,2026-08-04
printmoneylab.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,30,0.2.0-draft,2026-08-04
printyourduck.com,1,80,Connectable,,fail,fail,pass,fail,pass,fail,skip,pass,fail,,legacy,22,0.2.0-draft,2026-08-04
priorify.app,1,40,Discoverable,,fail,fail,fail,pass,skip,skip,skip,fail,pass,,,14,0.2.0-draft,2026-08-04
prisma.io,1,80,Connectable,,pass,fail,fail,pass,pass,fail,skip,pass,fail,mcp-json|mcp-bare|mcp-server-card-json,modern,34,0.2.0-draft,2026-08-04
prismclip.com,1,70,Connectable,,pass,fail,fail,pass,pass,fail,skip,fail,fail,mcp-server-card-json,modern,16,0.2.0-draft,2026-08-04
prismfact.com,1,80,Connectable,,pass,fail,pass,fail,pass,pass,fail,pass,fail,ai-catalog,modern,18,0.2.0-draft,2026-08-04
prismism.dev,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,14,0.2.0-draft,2026-08-04
prismix.dev,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,14,0.2.0-draft,2026-08-04
prismsplit.tech,1,35,Discoverable,,fail,fail,fail,pass,skip,skip,skip,fail,fail,,,29,0.2.0-draft,2026-08-04
private.law,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,24,0.2.0-draft,2026-08-04
privateluke4444.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,6,0.2.0-draft,2026-08-04
prizmad.com,1,45,Discoverable,,pass,fail,fail,pass,skip,skip,skip,pass,fail,mcp-server-card-json,,20,0.2.0-draft,2026-08-04
pro.makeup,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,pass,pass,pass,mcp-bare|mcp-server-card-json,legacy,19,0.2.0-draft,2026-08-04
proagentstore.online,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,17,0.2.0-draft,2026-08-04
