apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,D7,C1,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
sovereigntyempire.com,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,11,0.4.0,2026-08-07
sovgrid.org,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,22,0.4.0,2026-08-07
spacefast.com,1,80,Connectable,,pass,fail,fail,pass,pass,fail,fail,skip,skip,pass,fail,mcp-server-card-json,modern,25,0.4.0,2026-08-07
spacefrontiers.org,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,legacy,27,0.4.0,2026-08-07
spacemolt.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,19,0.4.0,2026-08-07
spacexploration.com,1,95,Agent-ready,,pass,fail,pass,pass,pass,pass,fail,pass,pass,pass,fail,mcp-server-card-json,legacy,28,0.4.0,2026-08-07
spala.ai,1,80,Connectable,,pass,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,mcp-json,modern,27,0.4.0,2026-08-07
spanly.com,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,modern,28,0.4.0,2026-08-07
spannhq.com,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,legacy,26,0.4.0,2026-08-07
sparkforge.sh,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,legacy,23,0.4.0,2026-08-07
sparklingtracks.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,20,0.4.0,2026-08-07
sparkscribe.app,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
spatialpack.dev,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,28,0.4.0,2026-08-07
spcsft.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,31,0.4.0,2026-08-07
speak2web.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
speakai.co,1,85,Connectable,,pass,fail,fail,pass,pass,fail,fail,skip,skip,pass,pass,mcp-json|mcp-server-card-json,modern,27,0.4.0,2026-08-07
speakman.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
